Date,ffr,Tbill,r3,r10,Consumer,ConsNoFd,Finished,CapEq,PPINSA,M1NSA,M2NSA,CPINSA,CPICore,urate,indpro
1960Q1,3.93,3.94,4.67,4.49,33.13,33.37,33.03,32.73,30.6,140.53,299.4,30.57,30.57,5.13,26.78
1960Q2,3.7,3.09,4.25,4.26,33.47,33.33,33.3,32.87,30.6,138.4,300.03,30.6,30.63,5.23,26.2
1960Q3,2.94,2.39,3.49,3.83,33.63,33.47,33.43,32.77,30.5,139.6,305.5,30.6,30.6,5.53,25.77
1960Q4,2.3,2.36,3.52,3.89,33.77,33.53,33.5,32.77,30.47,142.67,312.3,30.8,30.77,6.27,25.15
1961Q1,2,2.38,3.4,3.79,33.87,33.53,33.63,32.83,30.43,142.23,317.1,30.8,30.83,6.8,24.77
1961Q2,1.73,2.33,3.4,3.79,33.8,33.5,33.57,32.9,30.5,141.4,320.97,30.9,30.93,7,25.75
1961Q3,1.68,2.32,3.69,3.98,33.43,33.37,33.3,32.9,30.33,142,326.5,31.03,31.07,6.77,26.57
1961Q4,2.4,2.48,3.65,3.97,33.47,33.37,33.33,32.9,30.3,146.63,334.7,31.2,31.17,6.2,27.51
1962Q1,2.46,2.74,3.63,4.02,33.6,33.4,33.43,32.93,30.37,146.37,341.17,31.23,31.23,5.63,27.92
1962Q2,2.61,2.71,3.39,3.87,33.7,33.37,33.53,33,30.4,145.33,346.23,31.37,31.37,5.53,28.19
1962Q3,2.85,2.86,3.5,3.99,33.47,33.47,33.4,33,30.37,144.97,351.63,31.43,31.47,5.57,28.49
1962Q4,2.92,2.8,3.37,3.9,33.77,33.37,33.63,33,30.33,149.23,361.27,31.6,31.53,5.53,28.73
1963Q1,2.97,2.91,3.4,3.89,33.67,33.37,33.5,33,30.3,149.53,368.97,31.53,31.6,5.77,29.26
1963Q2,2.96,2.94,3.55,3.96,33.4,33.37,33.33,33,30.27,148.87,374.63,31.73,31.73,5.73,30.03
1963Q3,3.33,3.28,3.78,4.03,33.57,33.43,33.43,33,30.33,150.13,382.2,31.87,31.87,5.5,30.23
1963Q4,3.45,3.5,3.94,4.12,33.53,33.37,33.43,33.07,30.37,155.17,392.5,32.07,32.03,5.57,30.74
1964Q1,3.46,3.54,4.05,4.18,33.57,33.37,33.47,33.2,30.47,154.97,398.7,32.13,32.2,5.47,31.16
1964Q2,3.49,3.48,4.07,4.2,33.43,33.3,33.47,33.27,30.5,153.93,403,32.23,32.23,5.2,31.9
1964Q3,3.46,3.51,3.96,4.19,33.5,33.27,33.5,33.47,30.47,156.27,412.07,32.27,32.3,5,32.41
1964Q4,3.58,3.69,4.05,4.17,33.63,33.3,33.6,33.5,30.53,162.07,423.7,32.47,32.47,4.97,32.9
1965Q1,3.97,3.9,4.08,4.2,33.6,33.43,33.6,33.53,30.67,161.83,431.53,32.6,32.6,4.9,34.14
1965Q2,4.08,3.88,4.1,4.21,33.8,33.5,33.8,33.73,30.7,160.6,436.1,32.7,32.7,4.67,34.93
1965Q3,4.07,3.86,4.16,4.25,34.23,33.57,34.13,33.8,30.87,162.3,444.6,32.73,32.73,4.37,35.66
1965Q4,4.17,4.16,4.52,4.47,34.37,33.63,34.3,33.87,30.93,169.1,457.8,32.93,32.9,4.1,36.38
